Country;Sector;Product CN Code;Description;Default Value (direct emissions);Default Value (Indirect emissions);Default Value (total emissions);2026 Default Value (Including mark-up);2027 Default Value (Including mark-up);2028 Default Value (Including mark-up);Underlying production route determining CBAM BM
Cameroon;Fertilisers;31023090;Ammonium nitrate (excl. that in aqueous solution, in tablets or similar forms, or in packages with a gross weight of <= 10 kg);1.9;0.11;2.01;2.0301;2.0301;2.0301;
Cameroon;Fertilisers;31024010;Mixtures of ammonium nitrate with calcium carbonate or other inorganic non-fertilising substances, for use as fertilisers, containing <= 28% nitrogen by weight (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg);1.64;0.1;1.74;1.7574;1.7574;1.7574;
Cameroon;Fertilisers;31024090;Mixtures of ammonium nitrate with calcium carbonate or other inorganic non-fertilising substances, for use as fertilisers, containing > 28% nitrogen by weight (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg);1.64;0.1;1.74;1.7574;1.7574;1.7574;
Cameroon;Fertilisers;31025000;Sodium nitrate (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg);2.82;0.1;2.92;2.9492;2.9492;2.9492;
Cameroon;Fertilisers;31026000;Double salts and mixtures of calcium nitrate and ammonium nitrate (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg);1.6;0.1;1.69;1.7069;1.7069;1.7069;
Cameroon;Fertilisers;31028000;Mixtures of urea and ammonium nitrate in aqueous or ammoniacal solution (excl. those in packages with a gross weight of <= 10 kg);1.34;0.09;1.44;1.4544;1.4544;1.4544;
Cameroon;Fertilisers;31029000;"Mineral or chemical nitrogen fertilisers (excl. urea; ammonium sulphate; ammonium nitrate; sodium nitrate; double salts and mixtures of ammonium nitrate with ammonium sulphate or calcium; mixtures of urea and ammonium nitrate in aqueous or ammoniacal solution; mixtures of ammonium nitrate and calcium carbonate or other non-fertilising inorganic elements; in tablets or similar in packages <= 10 kg)";1.49;0.11;1.6;1.616;1.616;1.616;
Cameroon;Fertilisers;3105;Mineral or chemical fertilisers containing two or three of the fertilising elements nitrogen, phosphorus and potassium;;;;;;;
Cameroon;Fertilisers;31051000;Mineral or chemical fertilisers of animal or vegetable origin, in tablets or similar forms, or in packages with a gross weight of <= 10 kg;0.7;0.07;0.77;0.7777;0.7777;0.7777;
Cameroon;Fertilisers;31052010;Mineral or chemical fertilisers containing phosphorus and potassium, with a nitrogen content > 10 % by weight on the dry anhydrous product (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg);0.83;0.08;0.91;0.9191;0.9191;0.9191;
Cameroon;Fertilisers;31052090;Mineral or chemical fertilisers containing nitrogen, phosphorus and potassium, with a nitrogen content <= 10 % by weight on the dry anhydrous product (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg);0.57;0.06;0.62;0.6262;0.6262;0.6262;
Cameroon;Fertilisers;31053000;"Diammonium hydrogenorthophosphate ""diammonium phosphate"" (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg)";0.54;0.06;0.6;0.606;0.606;0.606;
Cameroon;Fertilisers;31054000;"Ammonium dihydrogenorthophosphate ""monoammonium phosphate"", whether or not mixed with diammonium hydrogenorthophosphate ""diammonium phosphate"" (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg)";0.34;0.04;0.39;0.3939;0.3939;0.3939;
Cameroon;Fertilisers;31055100;Other mineral or chemical fertilisers containing the two fertilising elements nitrogen and phosphorus (nitrates and phosphates);1.13;0.1;1.23;1.2423;1.2423;1.2423;
Cameroon;Fertilisers;31055900;Other mineral or chemical fertilisers containing the two fertilising elements nitrogen and phosphorus (excl. nitrates and phosphates);0.62;0.1;0.72;0.7272;0.7272;0.7272;
Cameroon;Fertilisers;31059020;Mineral or chemical fertilisers containing the two fertilising elements nitrogen and potassium, or one principal fertilising substance only, incl. mixtures of animal or vegetable fertilisers with chemical or mineral fertilisers, containing > 10% nitrogen by weight (excl. in tablets or similar forms, or in packages with a gross weight of <= 10 kg);1.1;0.07;1.17;1.1817;1.1817;1.1817;
Cameroon;Fertilisers;31059080;Mineral or chemical fertilisers containing the two fertilising elements nitrogen and potassium, or one main fertilising element, incl. mixtures of animal or vegetable fertilisers with chemical or mineral fertilisers, not containing nitrogen or with a nitrogen content, by weight, of <= 10% (excl. in tablets or similar forms or in packages of a gross weight of <= 10 kg);0.56;0.04;0.61;0.6161;0.6161;0.6161;
Cameroon;Aluminium;7601;Unwrought aluminium;1.7;;1.7;1.87;2.04;2.21;(K)
Cameroon;Aluminium;7603;Aluminium powders and flakes;1.81;;1.81;1.991;2.172;2.353;(K)
Cameroon;Aluminium;76041010;Bars and rods;2.03;;2.03;2.233;2.436;2.639;(K)
Cameroon;Aluminium;76041090;Profiles;2.05;;2.05;2.255;2.46;2.665;(K)
Cameroon;Aluminium;76042100;Hollow profiles;2.05;;2.05;2.255;2.46;2.665;(K)
Cameroon;Aluminium;76042910;Bars and rods;2.03;;2.03;2.233;2.436;2.639;(K)
Cameroon;Aluminium;76042990;Profiles;2.05;;2.05;2.255;2.46;2.665;(K)
Cameroon;Aluminium;7605;Aluminium wire;2.03;;2.03;2.233;2.436;2.639;(K)
Cameroon;Aluminium;7606;Aluminium plates, sheets and strip, of a thickness exceeding 0,2 mm;2.49;;2.49;2.739;2.988;3.237;(K)
Cameroon;Aluminium;7607;Aluminium foil (whether or not printed or backed with paper, paperboard, plastics or similar backing materials) of a thickness (excluding any backing) not exceeding 0,2 mm;2.49;;2.49;2.739;2.988;3.237;(K)
Cameroon;Aluminium;7608;Aluminium tubes and pipes;2.05;;2.05;2.255;2.46;2.665;(K)
Cameroon;Aluminium;76090000;Aluminium tube or pipe fittings (for example, couplings, elbows, sleeves);2.05;;2.05;2.255;2.46;2.665;(K)
Cameroon;Aluminium;76101000;Doors, windows and their frames and thresholds for doors;2.05;;2.05;2.255;2.46;2.665;(K)
Cameroon;Aluminium;761090;Other;2.05;;2.05;2.255;2.46;2.665;(K)
Cameroon;Aluminium;76109010;Bridges and bridge-sections, towers and lattice masts;2.05;;2.05;2.255;2.46;2.665;(K)
Cameroon;Aluminium;76109090;Other;2.05;;2.05;2.255;2.46;2.665;(K)
Cameroon;Aluminium;76110000;Aluminium reservoirs, tanks, vats and similar containers, for any material (other than compressed or liquefied gas), of a capacity exceeding 300 litres, whether or not lined or heat-insulated, but not fitted with mechanical or thermal equipment;2.49;;2.49;2.739;2.988;3.237;(K)
Cameroon;Aluminium;7612;Aluminium casks, drums, cans, boxes and similar containers (including rigid or collapsible tubular containers), for any material (other than compressed or liquefied gas), of a capacity not exceeding 300 litres, whether or not lined or heat-insulated, but not fitted with mechanical or thermal equipment;2.49;;2.49;2.739;2.988;3.237;(K)
Cameroon;Aluminium;76130000;Aluminium containers for compressed or liquefied gas;2.49;;2.49;2.739;2.988;3.237;(K)
Cameroon;Aluminium;7614;Stranded wire, cables, plaited bands and the like, of aluminium, not electrically insulated;2.03;;2.03;2.233;2.436;2.639;(K)
Cameroon;Aluminium;76161000;Nails, tacks, staples (other than those of heading 8305), screws, bolts, nuts, screw hooks, rivets, cotters, cotter pins, washers and similar articles;2.49;;2.49;2.739;2.988;3.237;(K)
Cameroon;Aluminium;76169100;Cloth, grill, netting and fencing, of aluminium wire;2.49;;2.49;2.739;2.988;3.237;(K)
Cameroon;Aluminium;76169910;Cast;1.81;;1.81;1.991;2.172;2.353;(K)
Cameroon;Aluminium;76169990;Other;2.49;;2.49;2.739;2.988;3.237;(K)
Cameroon;Hydrogen;28041000;Hydrogen;10.82;;10.82;11.902;12.984;14.066;
Canada;Cement;25070080;Calcined clay;0.21;0.03;0.24;0.264;0.288;0.312;(A)
Canada;Cement;25231000;White clinker;1.28;0.02;1.29;1.419;1.548;1.677;(B)
Canada;Cement;25231000;Grey clinker;;;;;;;
Canada;Cement;25232100;White Portland cement;1.24;0.12;1.36;1.496;1.632;1.768;
Canada;Cement;25232900;Grey Portland cement;;;;;;;
Canada;Cement;25239000;White hydraulic cements;1.29;0.13;1.42;1.562;1.704;1.846;(B)
Canada;Cement;25239000;Grey hydraulic cements;;;;;;;
Canada;Cement;25233000;Aluminous cement;;;;;;;
Canada;Fertilisers;28080000;"Nitric acid; sulphonitric acids";1.51;0.02;1.54;1.5554;1.5554;1.5554;
Canada;Fertilisers;28141000;Anhydrous ammonia;1.91;0.07;1.98;1.9998;1.9998;1.9998;
Canada;Fertilisers;28142000;Ammonia in aqueous solution;0.57;0.02;0.59;0.5959;0.5959;0.5959;
Canada;Fertilisers;28342100;Nitrate of potassium;1.36;0.03;1.4;1.414;1.414;1.414;
Canada;Fertilisers;3102;Mineral or chemical fertilizers, nitrogenous;;;;;;;
Canada;Fertilisers;31021012;Urea in aqueous solution, containing >45% nitrogen in relation to the weight of the dry product and containing =>31,8% but <=33,2 % by weight of urea (excl. that in packages with a gross weight of <= 10 kg);0.44;0.02;0.46;0.4646;0.4646;0.4646;
Canada;Fertilisers;31021015;Urea in aqueous solution, containing >45% nitrogen in relation to the weight of the dry product and containing >33,2% but <=55% by weight of urea (excl. that in packages with a gross weight of <= 10 kg);0.72;0.02;0.74;0.7474;0.7474;0.7474;
Canada;Fertilisers;31021019;Urea, whether or not in aqueous solution, containing >45% nitrogen in relation to the weight of the dry product (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg, or in aqueous solution containing =>31,8% but <=55% by weight of urea);1.31;0.06;1.37;1.3837;1.3837;1.3837;
Canada;Fertilisers;31021090;Urea, whether or not in aqueous solution, containing <= 45% by weight of nitrogen on the dry anhydrous product (excl. goods of this chapter in tablets or similar forms or in packages of a gross weight of <= 10 kg);1.28;0.06;1.34;1.3534;1.3534;1.3534;
Canada;Fertilisers;31022100;Ammonium sulphate (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg);0.57;0.04;0.61;0.6161;0.6161;0.6161;
Canada;Fertilisers;31022900;Double salts and mixtures of ammonium sulphate and ammonium nitrate;0.98;0.05;1.03;1.0403;1.0403;1.0403;
Canada;Fertilisers;31023010;Ammonium nitrate in aqueous solution (excl. that in packages with a gross weight of <= 10 kg);1.04;0.04;1.07;1.0807;1.0807;1.0807;
Canada;Fertilisers;31023090;Ammonium nitrate (excl. that in aqueous solution, in tablets or similar forms, or in packages with a gross weight of <= 10 kg);1.6;0.06;1.65;1.6665;1.6665;1.6665;
Canada;Fertilisers;31024010;Mixtures of ammonium nitrate with calcium carbonate or other inorganic non-fertilising substances, for use as fertilisers, containing <= 28% nitrogen by weight (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg);1.39;0.05;1.44;1.4544;1.4544;1.4544;
Canada;Fertilisers;31024090;Mixtures of ammonium nitrate with calcium carbonate or other inorganic non-fertilising substances, for use as fertilisers, containing > 28% nitrogen by weight (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg);1.39;0.05;1.44;1.4544;1.4544;1.4544;
Canada;Fertilisers;31025000;Sodium nitrate (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg);2.36;0.04;2.4;2.424;2.424;2.424;
Canada;Fertilisers;31026000;Double salts and mixtures of calcium nitrate and ammonium nitrate (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg);1.34;0.05;1.39;1.4039;1.4039;1.4039;
Canada;Fertilisers;31028000;Mixtures of urea and ammonium nitrate in aqueous or ammoniacal solution (excl. those in packages with a gross weight of <= 10 kg);1.13;0.04;1.17;1.1817;1.1817;1.1817;
Canada;Fertilisers;31029000;"Mineral or chemical nitrogen fertilisers (excl. urea; ammonium sulphate; ammonium nitrate; sodium nitrate; double salts and mixtures of ammonium nitrate with ammonium sulphate or calcium; mixtures of urea and ammonium nitrate in aqueous or ammoniacal solution; mixtures of ammonium nitrate and calcium carbonate or other non-fertilising inorganic elements; in tablets or similar in packages <= 10 kg)";1.25;0.05;1.3;1.313;1.313;1.313;
Canada;Fertilisers;3105;Mineral or chemical fertilisers containing two or three of the fertilising elements nitrogen, phosphorus and potassium;;;;;;;
Canada;Fertilisers;31051000;Mineral or chemical fertilisers of animal or vegetable origin, in tablets or similar forms, or in packages with a gross weight of <= 10 kg;0.59;0.05;0.63;0.6363;0.6363;0.6363;
Canada;Fertilisers;31052010;Mineral or chemical fertilisers containing phosphorus and potassium, with a nitrogen content > 10 % by weight on the dry anhydrous product (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg);0.7;0.05;0.76;0.7676;0.7676;0.7676;
Canada;Fertilisers;31052090;Mineral or chemical fertilisers containing nitrogen, phosphorus and potassium, with a nitrogen content <= 10 % by weight on the dry anhydrous product (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg);0.48;0.04;0.52;0.5252;0.5252;0.5252;
Canada;Fertilisers;31053000;"Diammonium hydrogenorthophosphate ""diammonium phosphate"" (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg)";0.45;0.03;0.48;0.4848;0.4848;0.4848;
Canada;Fertilisers;31054000;"Ammonium dihydrogenorthophosphate ""monoammonium phosphate"", whether or not mixed with diammonium hydrogenorthophosphate ""diammonium phosphate"" (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg)";0.29;0.03;0.32;0.3232;0.3232;0.3232;
Canada;Fertilisers;31055100;Other mineral or chemical fertilisers containing the two fertilising elements nitrogen and phosphorus (nitrates and phosphates);0.95;0.07;1.02;1.0302;1.0302;1.0302;
Canada;Fertilisers;31055900;Other mineral or chemical fertilisers containing the two fertilising elements nitrogen and phosphorus (excl. nitrates and phosphates);0.53;0.07;0.6;0.606;0.606;0.606;
Canada;Fertilisers;31059020;Mineral or chemical fertilisers containing the two fertilising elements nitrogen and potassium, or one principal fertilising substance only, incl. mixtures of animal or vegetable fertilisers with chemical or mineral fertilisers, containing > 10% nitrogen by weight (excl. in tablets or similar forms, or in packages with a gross weight of <= 10 kg);0.92;0.04;0.96;0.9696;0.9696;0.9696;
Canada;Fertilisers;31059080;Mineral or chemical fertilisers containing the two fertilising elements nitrogen and potassium, or one main fertilising element, incl. mixtures of animal or vegetable fertilisers with chemical or mineral fertilisers, not containing nitrogen or with a nitrogen content, by weight, of <= 10% (excl. in tablets or similar forms or in packages of a gross weight of <= 10 kg);0.48;0.03;0.5;0.505;0.505;0.505;
Canada;Aluminium;7601;Unwrought aluminium;1.96;;1.96;2.156;2.352;2.548;(K)
Canada;Aluminium;7603;Aluminium powders and flakes;2.07;;2.07;2.277;2.484;2.691;(K)
Canada;Aluminium;76041010;Bars and rods;2.29;;2.29;2.519;2.748;2.977;(K)
Canada;Aluminium;76041090;Profiles;2.31;;2.31;2.541;2.772;3.003;(K)
Canada;Aluminium;76042100;Hollow profiles;2.31;;2.31;2.541;2.772;3.003;(K)
Canada;Aluminium;76042910;Bars and rods;2.29;;2.29;2.519;2.748;2.977;(K)
Canada;Aluminium;76042990;Profiles;2.31;;2.31;2.541;2.772;3.003;(K)
Canada;Aluminium;7605;Aluminium wire;2.29;;2.29;2.519;2.748;2.977;(K)
Canada;Aluminium;7606;Aluminium plates, sheets and strip, of a thickness exceeding 0,2 mm;2.75;;2.75;3.025;3.3;3.575;(K)
Canada;Aluminium;7607;Aluminium foil (whether or not printed or backed with paper, paperboard, plastics or similar backing materials) of a thickness (excluding any backing) not exceeding 0,2 mm;2.75;;2.75;3.025;3.3;3.575;(K)
Canada;Aluminium;7608;Aluminium tubes and pipes;2.31;;2.31;2.541;2.772;3.003;(K)
Canada;Aluminium;76090000;Aluminium tube or pipe fittings (for example, couplings, elbows, sleeves);2.31;;2.31;2.541;2.772;3.003;(K)
Canada;Aluminium;76101000;Doors, windows and their frames and thresholds for doors;2.31;;2.31;2.541;2.772;3.003;(K)
Canada;Aluminium;761090;Other;2.31;;2.31;2.541;2.772;3.003;(K)
Canada;Aluminium;76109010;Bridges and bridge-sections, towers and lattice masts;2.31;;2.31;2.541;2.772;3.003;(K)
Canada;Aluminium;76109090;Other;2.31;;2.31;2.541;2.772;3.003;(K)
Canada;Aluminium;76110000;Aluminium reservoirs, tanks, vats and similar containers, for any material (other than compressed or liquefied gas), of a capacity exceeding 300 litres, whether or not lined or heat-insulated, but not fitted with mechanical or thermal equipment;2.75;;2.75;3.025;3.3;3.575;(K)
Canada;Aluminium;7612;Aluminium casks, drums, cans, boxes and similar containers (including rigid or collapsible tubular containers), for any material (other than compressed or liquefied gas), of a capacity not exceeding 300 litres, whether or not lined or heat-insulated, but not fitted with mechanical or thermal equipment;2.75;;2.75;3.025;3.3;3.575;(K)
Canada;Aluminium;76130000;Aluminium containers for compressed or liquefied gas;2.75;;2.75;3.025;3.3;3.575;(K)
Canada;Aluminium;7614;Stranded wire, cables, plaited bands and the like, of aluminium, not electrically insulated;2.29;;2.29;2.519;2.748;2.977;(K)
Canada;Aluminium;76161000;Nails, tacks, staples (other than those of heading 8305), screws, bolts, nuts, screw hooks, rivets, cotters, cotter pins, washers and similar articles;2.75;;2.75;3.025;3.3;3.575;(K)
Canada;Aluminium;76169100;Cloth, grill, netting and fencing, of aluminium wire;2.75;;2.75;3.025;3.3;3.575;(K)
Canada;Aluminium;76169910;Cast;2.07;;2.07;2.277;2.484;2.691;(K)
Canada;Aluminium;76169990;Other;2.75;;2.75;3.025;3.3;3.575;(K)
Canada;Hydrogen;28041000;Hydrogen;10.82;;10.82;11.902;12.984;14.066;
Canada;Iron and steel;26011200;Agglomerated iron ores and concentrates (excl. roasted iron pyrites);0.08;0.01;0.09;0.099;0.108;0.117;
Canada;Iron and steel;7201;Pig iron and spiegeleisen, in pigs, blocks or other primary forms;1.11;;1.11;1.221;1.332;1.443;
Canada;Iron and steel;720211;Ferro-manganese, containing by weight > 2% of carbon;1.69;;1.69;1.859;2.028;2.197;
Canada;Iron and steel;720219;Ferro-manganese, containing by weight <= 2% carbon;;;;;;;
Canada;Iron and steel;720241;Ferro-chromium, containing by weight > 4% of carbon;2.35;;2.35;2.585;2.82;3.055;
Canada;Iron and steel;720249;Ferro-chromium, containing by weight <= 4% of carbon;;;;;;;
Canada;Iron and steel;72026000;Ferro-nickel;3.48;;3.48;3.828;4.176;4.524;
Canada;Iron and steel;7203;"Ferrous products obtained by direct reduction of iron ore and other spongy ferrous products, in lumps, pellets or similar forms; iron having a minimum purity by weight of 99,94%, in lumps, pellets or similar forms";0.76;;0.76;0.836;0.912;0.988;
Canada;Iron and steel;7205;"Granules and powders of pig iron, spiegeleisen, iron or steel (excl. granules and powders of ferro-alloys, turnings and filings of iron or steel, radioactive iron powders ""isotopes"" and certain low-calibre, substandard balls for ballbearings)";1.29;;1.29;1.419;1.548;1.677;(C)
Canada;Iron and steel;7206;Iron and non-alloy steel in ingots or other primary forms (excl. remelting scrap ingots, products obtained by continuous casting and iron of heading 7203);;;;;;;
Canada;Iron and steel;72061000;Ingots, of iron and non-alloy steel (excl. remelted scrap ingots, continuous cast products, iron of heading 7203);1.33;;1.33;1.463;1.596;1.729;(C)
Canada;Iron and steel;72069000;Iron and non-alloy steel, in puddled bars or other primary forms (excl. ingots, remelted scrap ingots, continuous cast products, iron of heading 7203);1.33;;1.33;1.463;1.596;1.729;(C)
Canada;Iron and steel;7207;Semi-finished products of iron or non-alloy steel;;;;;;;
Canada;Iron and steel;72071111;Semi-finished products, of non-alloy free-cutting steel, containing by weight < 0,25% carbon, of square or rectangular cross-section, the width < twice the thickness, rolled or obtained by continuous casting;1.33;;1.33;1.463;1.596;1.729;(C)
Canada;Iron and steel;72071114;Semi-finished products, of iron or non-alloy steel, containing by weight < 0,25% carbon, of square or rectangular cross-section, the width < twice the thickness of <= 130 mm, rolled or obtained by continuous casting (excl. free-cutting steel);1.33;;1.33;1.463;1.596;1.729;(C)
Canada;Iron and steel;72071116;Semi-finished products, of iron or non-alloy steel, containing by weight < 0,25% carbon, of square or rectangular cross-section, the width < twice the thickness of > 130 mm, rolled or obtained by continuous casting (excl. free-cutting steel);1.33;;1.33;1.463;1.596;1.729;(C)
Canada;Iron and steel;72071190;Semi-finished products of iron or non-alloy steel, containing by weight < 0,25% carbon, of rectangular cross-section, the width < twice the thickness, forged;1.33;;1.33;1.463;1.596;1.729;(C)
Canada;Iron and steel;72071210;"Semi-finished products of iron or non-alloy steel, containing by weight < 0,25 of carbon, of rectangular ""other than square"" cross-section, the width measuring >= twice the thickness, rolled or obtained by continuous casting";1.33;;1.33;1.463;1.596;1.729;(C)
Canada;Iron and steel;72071290;"Semi-finished products of iron or non-alloy steel, containing by weight < 0,25% carbon, of rectangular ""other than square"" cross-section, the width >= twice the thickness, forged";1.33;;1.33;1.463;1.596;1.729;(C)
Canada;Iron and steel;72071912;Semi-finished products, of iron or non-alloy steel, containing by weight < 0,25% carbon, of circular or polygonal cross-section, rolled or obtained by continuous casting;1.33;;1.33;1.463;1.596;1.729;(C)
Canada;Iron and steel;72071919;Semi-finished products of iron or non-alloy steel, containing by weight < 0,25% carbon, of circular or polygonal cross-section, forged;1.33;;1.33;1.463;1.596;1.729;(C)
Canada;Iron and steel;72071980;Semi-finished products of iron or non-alloy steel, containing by weight < 0,25% carbon (excl. semi-products, of square, rectangular, circular or polygonal cross-section);1.33;;1.33;1.463;1.596;1.729;(C)
Canada;Iron and steel;72072011;Semi-finished products, of non-alloy free-cutting steel, containing by weight >= 0,25% carbon, of square or rectangular cross-section, the width < twice the thickness, rolled or obtained by continuous casting;1.33;;1.33;1.463;1.596;1.729;(C)
Canada;Iron and steel;72072015;Semi-finished products of iron or non-alloy steel, containing by weight >= 0,25% but < 0,6% carbon, of square or rectangular cross-section, the width < twice the thickness, rolled or obtained by continuous casting (excl. free-cutting steel);1.33;;1.33;1.463;1.596;1.729;(C)
Canada;Iron and steel;72072017;Semi-finished products of iron or non-alloy steel, containing by weight >= 0,6% carbon, of square or rectangular cross-section, the width < twice the thickness, rolled or obtained by continuous casting (excl. free-cutting steel);1.33;;1.33;1.463;1.596;1.729;(C)
Canada;Iron and steel;72072019;Semi-finished products of iron or non-alloy steel, containing by weight >= 0,25% carbon, of square or rectangular cross-section, the width < twice the thickness, forged;1.33;;1.33;1.463;1.596;1.729;(C)
Canada;Iron and steel;72072032;"Semi-finished products of iron or non-alloy steel, containing by weight >= 0,25 of carbon, of rectangular ""other than square"" cross-section, the width measuring >= twice the thickness, rolled or obtained by continuous casting";1.33;;1.33;1.463;1.596;1.729;(C)
Canada;Iron and steel;72072039;"Semi-finished products of iron or non-alloy steel, containing by weight >= 0,25% carbon, of rectangular ""other than square"" cross-section and the width >= twice the thickness, forged";1.33;;1.33;1.463;1.596;1.729;(C)
Canada;Iron and steel;72072052;Semi-finished products of iron or non-alloy steel, containing by weight >= 0,25% carbon, of circular or polygonal cross-section, rolled or obtained by continuous casting;1.33;;1.33;1.463;1.596;1.729;(C)
Canada;Iron and steel;72072059;Semi-finished products of iron or non-alloy steel, containing by weight >= 0,6% carbon, of circular or polygonal cross-section, forged;1.33;;1.33;1.463;1.596;1.729;(C)
Canada;Iron and steel;72072080;Semi-finished products of iron or non-alloy steel, containing by weight >= 0,25% carbon (excl. those of square, rectangular, circular or polygonal cross-section);1.33;;1.33;1.463;1.596;1.729;(C)
Canada;Iron and steel;7208;Flat-rolled products of iron or non-alloy steel, of a width >= 600 mm, hot-rolled, not clad, plated or coated;1.43;;1.43;1.573;1.716;1.859;(C)
Canada;Iron and steel;7209;"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, cold-rolled ""cold-reduced"", not clad, plated or coated";1.51;;1.51;1.661;1.812;1.963;(C)
Canada;Iron and steel;7210;"Flat-rolled products of iron or non-alloy steel, of a width >= 600 mm, hot-rolled or cold-rolled ""cold-reduced"", clad, plated or coated";1.51;;1.51;1.661;1.812;1.963;(C)
Canada;Iron and steel;7211;"Flat-rolled products of iron or non-alloy steel, of a width of < 600 mm, hot-rolled or cold-rolled ""cold-reduced"", not clad, plated or coated";;;;;;;
Canada;Iron and steel;72111300;"Flat-rolled products of iron or non-alloy steel, simply hot-rolled on four faces or in a closed box pass, not clad, plated or coated, of a width of > 150 mm but < 600 mm and a thickness of >= 4 mm, not in coils, without patterns in relief, commonly known as ""wide flats""";1.43;;1.43;1.573;1.716;1.859;(C)
Canada;Iron and steel;72111400;"Flat-rolled products of iron or non-alloy steel, of a width < 600 mm, not further worked than hot-rolled, not clad, plated or coated, of a thickness of >= 4,75 mm (excl. ""wide flats"")";1.43;;1.43;1.573;1.716;1.859;(C)
Canada;Iron and steel;72111900;"Flat-rolled products of iron or non-alloy steel, of a width < 600 mm, simply hot-rolled, not clad, plated or coated, of a thickness < 4,75 mm (excl. ""wide flats"")";1.43;;1.43;1.573;1.716;1.859;(C)
Canada;Iron and steel;721123;"Flat-rolled products of iron or non-alloy steel, of a width of < 600 mm, simply cold-rolled ""cold-reduced"", not clad, plated or coated, containing by weight < 0,25% of carbon";1.51;;1.51;1.661;1.812;1.963;(C)
Canada;Iron and steel;72112900;"Flat-rolled products of iron or non-alloy steel, of a width of < 600 mm, simply cold-rolled ""cold-reduced"", not clad, plated or coated, containing by weight >= 0,25% of carbon";1.51;;1.51;1.661;1.812;1.963;(C)
Canada;Iron and steel;721190;"Flat-rolled products of iron or non-alloy steel, of a width of < 600 mm, hot-rolled or cold-rolled ""cold-reduced"" and further worked, but not clad, plated or coated";1.51;;1.51;1.661;1.812;1.963;(C)
Canada;Iron and steel;7212;"Flat-rolled products of iron or non-alloy steel, of a width of < 600 mm, hot-rolled or cold-rolled ""cold-reduced"", clad, plated or coated";1.51;;1.51;1.661;1.812;1.963;(C)
Canada;Iron and steel;7213;Bars and rods of iron or non-alloy steel, hot-rolled, in irregularly wound coils;1.33;;1.33;1.463;1.596;1.729;(C)
Canada;Iron and steel;7214;Bars and rods, of iron or non-alloy steel, not further worked than forged, hot-rolled, hot-drawn or hot-extruded, but incl. those twisted after rolling (excl. in irregularly wound coils);;;;;;;
Canada;Iron and steel;72141000;Bars and rods, of iron or non-alloy steel, not further worked than forged (excl. in irregularly wound coils);1.33;;1.33;1.463;1.596;1.729;(C)
Canada;Iron and steel;72142000;Bars and rods, of iron or non-alloy steel, with indentations, ribs, groves or other deformations produced during the rolling process;1.33;;1.33;1.463;1.596;1.729;(C)
Canada;Iron and steel;72143000;Bars and rods, of non-alloy free-cutting steel, not further worked than hot-rolled, hot-drawn or hot-extruded (excl. containing indentations, ribs, grooves or other deformations produced during the rolling process or twisted after rolling);1.33;;1.33;1.463;1.596;1.729;(C)
Canada;Iron and steel;721491;"Bars and rods, of iron or non-alloy steel, not further worked than hot-rolled, hot-drawn or hot-extruded, of rectangular ""other than square"" cross-section (excl. containing indentations, ribs, grooves or other deformations produced during the rolling process, bars and rods twisted after rolling and free-cutting steel)";1.33;;1.33;1.463;1.596;1.729;(C)
Canada;Iron and steel;721499;Bars and rods, of iron or non-alloy steel, only hot-rolled, only hot-drawn or only hot-extruded (excl. of rectangular [other than square] cross-section and those containing indentations, ribs, grooves or other deformations produced during the rolling process, and of non-alloy free-cutting steel);1.33;;1.33;1.463;1.596;1.729;(C)
Canada;Iron and steel;7215;Bars and rods, of iron or non-alloy steel, cold-formed or cold-finished, whether or not further worked, or hot-formed and further worked, n.e.s.;1.33;;1.33;1.463;1.596;1.729;(C)
Canada;Iron and steel;7216;Angles, shapes and sections of iron or non-alloy steel, n.e.s.;1.33;;1.33;1.463;1.596;1.729;(C)
Canada;Iron and steel;7217;Wire of iron or non-alloy steel, in coils (excl. bars and rods);;;;;;;
Canada;Iron and steel;721710;Wire of iron or non-alloy steel, in coils, not plated or coated, whether or not polished (excl. bars and rods);1.33;;1.33;1.463;1.596;1.729;(C)
Canada;Iron and steel;721720;Wire of iron or non-alloy steel, in coils, plated or coated with zinc (excl. bars and rods);1.33;;1.33;1.463;1.596;1.729;(C)
